"Foreign Direct Investment in the United States: Selected Items by Detailed Country, 2008–2019",,,,,,,,,,,,,,,,,
[Millions of dollars],,,,,,,,,,,,,,,,,
,Direct investment position on a historical-cost basis,,,,,,,,,,,,,,,,
San Marino,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Serbia,-1,-1,(*),0,-2,(*),2,4,2,7,3,-5,,,,,
Slovakia,(*),-3,4,4,17,13,1,(D),18,10,14,-10,,,,,
Slovenia,(D),(D),(D),(D),(D),(D),(D),(D),(D),8,6,5,,,,,
Tajikistan,0,0,0,0,0,0,0,0,(*),0,0,0,,,,,
Turkey,(D),786,749,476,(D),649,624,"1,389","1,663","1,919","2,175","2,340",,,,,
Turkmenistan,2,(*),-1,-2,(D),(D),-9,-3,-3,0,0,0,,,,,
Ukraine,-3,-5,-3,(*),(*),-6,-5,6,4,11,-3,(*),,,,,
Uzbekistan,-1,-2,0,0,(*),(*),(*),(*),(*),(*),(*),(*),,,,,
Vatican City,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,,,,,,,,,,
Latin America and Other Western Hemisphere,"56,538","32,961","62,130","78,310","83,525","100,482","117,051","123,846","120,051","119,119","153,638","193,786",,,,,
,,,,,,,,,,,,,,,,,
South and Central America,"13,581","14,583","17,943","24,783","23,754","25,036","25,083","25,261","26,235","28,704","32,025","35,072",,,,,
Brazil,16,"-1,430","1,357","5,077","3,562","1,891","1,444",142,"1,020",977,"2,514","4,617",,,,,
Mexico,"8,420","11,111","10,970","12,500","12,751","15,869","15,198","15,262","17,426","20,693","21,050","21,526",,,,,
Panama,916,"1,101",952,"1,135","1,218","1,527","2,350","2,592","2,749","2,466","2,789","2,965",,,,,
Venezuela,"2,402","2,612","3,122","3,898","4,393","3,881","3,926","4,186","1,563","1,603","1,673","1,705",,,,,
Other,"1,827","1,191","1,543","2,173","1,830","1,868","2,166","3,080","3,476","2,965","4,000","4,259",,,,,
Argentina,435,118,464,268,170,106,898,853,870,"1,028",822,561,,,,,
Belize,(D),8,(D),(D),(D),14,13,(D),13,12,12,12,,,,,
Bolivia,4,3,2,11,-17,(D),(D),-16,(D),1,(D),-2,,,,,
Chile,331,301,391,354,673,753,837,"1,948","2,070","1,861","2,573","2,851",,,,,
Colombia,834,256,382,935,775,659,-211,-96,-22,-26,140,174,,,,,
Costa Rica,-34,-47,-48,-78,-112,-62,-104,-84,-2,-137,-211,-199,,,,,
Ecuador,-6,29,77,66,40,9,(*),1,-4,27,30,48,,,,,
El Salvador,-11,-13,-15,-12,-14,-13,-24,-18,-17,-7,16,26,,,,,
French Guiana,0,0,0,(D),0,(D),-5,-5,-5,0,0,0,,,,,
Guatemala,-20,-61,-11,-19,-6,-12,-22,-15,2,(*),-9,9,,,,,
Guyana,0,0,0,-2,-2,(D),(*),(D),(*),(*),(D),1,,,,,
Honduras,-7,-32,7,-22,-35,-21,-19,-16,1,-52,-80,-84,,,,,
Nicaragua,(D),-1,(D),1,(D),53,27,(D),6,7,-8,-17,,,,,
Paraguay,-3,-5,-2,-1,-2,-3,(D),-3,-3,(D),-9,(D),,,,,
Peru,39,112,182,238,118,160,119,117,143,177,195,209,,,,,
Suriname,6,7,7,(D),(*),(*),(*),0,(D),(D),-7,(D),,,,,
Uruguay,238,514,168,426,338,289,691,393,460,84,538,686,,,,,
,,,,,,,,,,,,,,,,,
Other Western Hemisphere,"42,957","18,377","44,187","53,527","59,772","75,446","91,967","98,585","93,817","90,415","121,613","158,714",,,,,
Bahamas,236,694,"1,753",443,635,643,813,794,262,513,646,"1,089",,,,,
Bermuda,"13,703","-7,646",365,"-8,818","-13,030","-8,486",993,"-7,323","6,982","-3,280","28,018","56,279",,,,,
Curacao 2,--,--,--,"2,604","4,470","4,344","1,982","1,630","1,486","1,312","1,335","1,182",,,,,
Netherlands Antilles 3,"6,351","6,513","2,819",--,--,--,--,--,--,--,--,--,,,,,
"United Kingdom Islands, Caribbean  4","27,799","21,227","38,477","57,345","66,000","78,228","87,344","101,725","79,690","82,247","83,555","90,554",,,,,
Other,"-5,132","-2,410",772,"1,952","1,697",717,834,"1,759","5,398","9,624","8,058","9,609",,,,,
Anguilla,0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),,,,,
Antigua and Barbuda,3,3,3,3,4,(D),3,3,3,3,3,3,,,,,
Aruba,(D),-6,-8,-10,-5,-4,(D),2,1,8,6,(D),,,,,
Barbados,"-5,242","-2,505",706,"1,387","1,131",316,301,"1,341","5,105","9,053","7,476","9,077",,,,,
Cuba,(D),(D),(D),(D),(*),(D),(*),(*),(*),(*),(*),(*),,,,,
Dominica,0,0,0,(*),(*),(D),2,-1,(*),(*),(*),(*),,,,,
Dominican Republic,-144,-73,-142,37,71,-1,-5,-8,(*),223,107,151,,,,,
"French Islands, Caribbean",(*),-2,(*),-3,-1,(D),-1,-1,-1,-1,-1,-1,,,,,
Grenada,8,8,8,8,8,8,8,8,8,(D),8,8,,,,,
Haiti,0,0,0,0,(D),-8,(D),(D),(D),-1,-1,-1,,,,,
Jamaica,(*),-1,3,12,4,(*),3,(*),(*),-2,46,52,,,,,
"Netherlands Islands, Caribbean 2",--,--,--,241,163,182,213,(D),88,(D),(D),(D),,,,,
Sint Maarten 2,--,--,--,0,0,0,0,0,0,0,0,0,,,,,
St. Kitts and Nevis,1,1,1,-1,-1,(D),-1,(*),(D),-11,(D),(D),,,,,
St. Lucia,(*),(*),(*),1,0,0,(*),0,0,(D),7,7,,,,,
St. Pierre and Miquelon,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
St. Vincent and the Grenadines,-1,-2,-1,-1,(*),(D),0,(*),0,2,-1,-1,,,,,
Trinidad and Tobago,152,97,204,274,252,124,229,174,109,142,165,69,,,,,
"United Kingdom Islands, Atlantic (OWH)",(D),(D),5,5,24,35,36,36,12,(D),55,41,,,,,
,,,,,,,,,,,,,,,,,
Africa,"1,817","1,225","2,265","3,295","3,761","1,635","1,691","4,310","4,166","5,409","5,652","9,823",,,,,
South Africa,676,594,699,941,755,105,329,"2,936","2,985","3,976","4,013","4,061",,,,,
Other,"1,142",631,"1,566","2,354","3,005","1,530","1,362","1,374","1,181","1,432","1,638","5,762",,,,,
Algeria,-2,-4,-5,4,1,(D),(D),-13,(D),8,(D),(*),,,,,
Angola,13,-7,10,-32,163,160,89,207,235,222,(D),(D),,,,,
Benin,2,0,0,0,0,0,0,0,0,0,0,0,,,,,
Botswana,0,(*),0,(*),(*),(*),-1,-1,(*),0,0,0,,,,,
Burkina Faso,0,0,1,1,0,0,0,0,-1,-1,-1,0,,,,,
Burundi,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Cabo Verde,0,0,0,0,0,0,0,0,0,-2,-2,-2,,,,,
Cameroon,-5,-2,(*),(*),-7,(D),-9,(D),-2,(*),0,0,,,,,
Central African Republic,0,0,0,0,0,0,0,(*),(*),(*),0,0,,,,,
Chad,(*),(*),(*),0,(*),-1,-4,(*),1,2,1,0,,,,,
Comoros,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Congo (Brazzaville),-1,-4,-2,17,(D),8,-7,-6,-4,-4,(D),-4,,,,,
Congo (Kinshasa),0,0,0,0,(D),0,0,2,0,(*),(D),(*),,,,,
Cote d'Ivoire,(*),1,1,-3,-1,-6,-3,(D),-1,(*),(*),(*),,,,,
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Egypt,-157,-209,-277,-77,-98,-86,-84,-76,-115,-21,-43,1,,,,,
Equatorial Guinea,(D),(D),-5,8,-3,(D),-4,3,(D),(D),-3,-2,,,,,
Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Eswatini,0,0,0,0,(*),2,-5,-5,-5,0,0,0,,,,,
Ethiopia,-1,-1,-1,-1,-1,-1,0,-1,-1,4,(D),(D),,,,,
Gabon,(*),-1,-4,-3,-9,(D),-11,(D),-2,(D),(*),(*),,,,,
Gambia,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Ghana,-8,-1,-2,(D),(D),28,37,-33,23,-3,-4,-1,,,,,
Guinea,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),,,,,
Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Kenya,(*),-3,-5,(D),(D),-32,-8,-8,(D),(D),-5,-16,,,,,
Lesotho,0,0,0,(*),0,0,0,0,0,0,0,0,,,,,
Liberia,558,444,538,522,516,502,512,501,(D),457,466,461,,,,,
Libya,-2,-3,-3,1,(D),(D),-3,(D),-5,(D),1,(*),,,,,
Madagascar,0,0,0,-1,0,0,0,0,0,-1,(*),(*),,,,,
Malawi,-1,-1,0,0,(*),(*),(*),(*),(*),(*),(*),(*),,,,,
Mali,(*),0,0,0,-1,-2,-3,-2,-3,-2,-1,-1,,,,,
Mauritania,(*),0,(*),0,0,-1,(*),(*),(*),0,0,0,,,,,
Mauritius,486,295,"1,215",(D),"2,266",894,651,384,261,373,487,"4,682",,,,,
Morocco,(D),(D),(D),(D),(D),-15,-20,(D),-14,(D),-22,-21,,,,,
Mozambique,-1,-1,0,1,(*),-2,-1,(*),-1,1,-1,(*),,,,,
Namibia,0,0,0,0,0,-9,(D),2,(*),(*),2,0,,,,,
Niger,0,0,0,0,(*),(*),(*),(*),(*),0,0,(*),,,,,
Nigeria,164,63,23,20,23,(*),14,18,41,51,81,105,,,,,
Rwanda,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Senegal,(D),0,0,0,0,0,(*),(*),-2,(D),1,(D),,,,,
Seychelles,(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),,,,,
Sierra Leone,0,0,0,-5,(*),(*),(*),0,0,0,0,0,,,,,
Somalia,0,0,0,0,(*),(*),(*),(*),(*),(*),(*),(*),,,,,
South Sudan,--,--,--,0,0,0,0,(*),0,0,0,0,,,,,
Sudan 5,0,0,0,0,(*),(*),(*),(*),(*),(*),(*),(*),,,,,
Tanzania,0,(*),-1,(*),(*),-7,-3,(D),-1,(*),1,1,,,,,
Togo,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Tunisia,(D),-13,(D),(D),-9,-14,-17,-17,-18,-14,1,1,,,,,
Uganda,(*),0,0,0,0,-1,(*),(*),(*),(*),0,0,,,,,
"United Kingdom Islands, Atlantic (Africa)",0,0,0,(*),(*),(D),0,0,0,(*),0,(D),,,,,
Western Sahara,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Zambia,1,2,1,-2,(D),(D),(*),(D),(D),-5,-6,-1,,,,,
Zimbabwe,0,0,0,0,1,0,0,0,0,(*),-3,0,,,,,
,,,,,,,,,,,,,,,,,
Middle East,"16,233","18,177","16,808","19,463","18,374","17,944","16,467","17,582","24,169","26,668","29,329","29,076",,,,,
Israel,"6,752","8,122","8,714","9,290","7,361","7,041","6,175","6,865","12,271","12,061","13,982","14,566",,,,,
Kuwait,371,358,347,892,742,"1,011","1,072","1,113","1,112","1,123","1,276","1,256",,,,,
Lebanon,(D),(D),(D),(D),-60,-28,-19,-14,23,19,19,16,,,,,
Saudi Arabia,(D),(D),(D),(D),(D),(D),(D),(D),(D),"6,116","6,912","6,220",,,,,
United Arab Emirates,"2,136","2,253",747,"1,451","2,782","2,245","2,618","2,752","2,796","4,871","5,530","5,099",,,,,
Other,"1,630",(D),(D),(D),(D),(D),(D),(D),(D),"2,477","1,609","1,920",,,,,
Bahrain,229,165,30,48,-3,-153,-134,-160,-88,57,(D),-13,,,,,
Iran,(*),(*),(*),(*),1,-2,1,-3,1,(D),(D),(D),,,,,
Iraq,2,2,1,(D),(D),(D),(D),(D),(D),(D),-2,(*),,,,,
Jordan,(D),(D),(D),-47,-87,-93,-65,(D),(D),-21,-218,(D),,,,,
Oman,-9,-10,-10,-5,-19,-52,-45,-33,-23,-9,15,-3,,,,,
Qatar,(D),(D),(D),(D),(D),(D),"2,080",(D),"2,229","2,452",(D),(D),,,,,
Syria,(*),(*),(*),0,(*),0,(*),0,0,0,0,0,,,,,
Yemen,-2,1,1,(*),1,(D),(D),(D),(D),0,0,0,,,,,
,,,,,,,,,,,,,,,,,
Asia and Pacific,"325,431","323,404","346,605","395,241","428,016","483,304","532,491","579,708","620,189","674,906","701,193","858,527",,,,,
Australia,"37,399","36,760","35,632","59,362","51,138","49,127","56,404","65,259","66,587","62,048","63,070","80,974",,,,,
China,"1,105","1,624","3,300","3,598","7,076","7,855","10,071","14,714","31,871","31,306","33,543","37,685",,,,,
Hong Kong,"4,217","4,236","4,440","7,605","9,750","7,404","9,776","10,981","11,494","13,330","13,159","14,110",,,,,
India,"2,820","2,555","4,102","5,323","5,959","7,661","8,927","9,639","4,749","5,669","5,127","5,009",,,,,
Japan,"234,748","238,140","255,012","274,283","301,183","350,395","371,874","401,835","427,229","475,864","493,763","619,259",,,,,
Malaysia,450,439,338,911,"1,012",986,"1,154","1,278","1,121","1,037","1,218",981,,,,,
New Zealand,880,767,584,"1,014","1,052","1,046","1,048",439,204,"1,029","2,107","2,550",,,,,
Singapore,"25,801","20,757","21,517","16,819","18,701","17,082","20,665","21,585","21,661","18,185","18,267","21,060",,,,,
South Korea,"12,859","12,969","15,746","19,860","25,260","31,790","39,966","39,784","42,426","54,183","56,612","61,822",,,,,
Taiwan,"4,462","3,885","4,642","5,004","5,039","6,135","6,107","6,889","7,514","7,820","10,512","11,099",,,,,
Other,689,"1,271","1,293","1,461","1,847","3,825","6,498","7,305","5,334","4,435","3,816","3,978",,,,,
Afghanistan,1,3,5,(D),1,1,1,2,0,(D),1,(*),,,,,
Bangladesh,1,2,3,4,7,(D),(D),(*),(*),12,12,12,,,,,
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Brunei,-3,-1,-2,(D),-2,(D),(D),-9,-9,-3,(D),(D),,,,,
Burma,(*),(*),(*),(*),4,5,(D),(D),9,5,3,-1,,,,,
Cambodia,0,-1,(*),0,(*),(D),(D),(*),(*),5,4,4,,,,,
Fiji,0,0,0,0,0,0,0,0,0,0,(D),0,,,,,
"French Islands, Indian Ocean",0,0,0,0,0,0,0,0,0,0,0,0,,,,,
"French Islands, Pacific",2,8,-4,(*),-4,-3,(*),(*),(*),(*),(*),(*),,,,,
Indonesia,88,248,138,169,24,"1,190","1,521","1,604",530,318,344,399,,,,,
Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Laos,0,1,0,0,0,0,0,0,0,0,0,0,,,,,
Macau,(D),(D),428,(D),629,268,124,139,19,19,(D),(D),,,,,
Maldives,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Marshall Islands,(D),(D),(D),(D),(D),(D),29,38,-12,10,(D),(D),,,,,
Micronesia,0,0,0,0,1,1,1,1,1,1,1,1,,,,,
Mongolia,-4,-5,-5,-7,(D),(*),(*),1,(*),(D),-1,(*),,,,,
Nauru,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Nepal,0,0,0,0,0,0,0,0,0,1,-1,(D),,,,,
North Korea,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Pakistan,57,60,76,79,64,-237,-133,-117,-14,225,167,154,,,,,
Palau,0,0,0,0,0,0,0,0,0,0,(*),(*),,,,,
Papua New Guinea,2,2,2,1,1,-3,-1,2,2,1,1,2,,,,,
Philippines,60,131,103,115,289,339,"1,028","1,173",739,697,361,474,,,,,
Samoa,13,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),,,,,
Solomon Islands,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Sri Lanka,14,9,10,15,17,43,42,56,65,47,66,67,,,,,
Thailand,187,199,158,123,382,"1,422","1,997","2,466","3,142","2,418","2,136","1,904",,,,,
Timor-Leste,0,0,-2,-2,0,0,-4,-4,-4,0,0,0,,,,,
Tongo,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Tuvalu,0,0,(*),0,0,0,0,0,0,0,0,0,,,,,
"United Kingdom Islands, Indian Ocean",0,0,0,0,0,0,0,(*),0,0,-1,0,,,,,
"United Kingdom Islands, Pacific",1,1,(*),(*),(D),(D),(D),(D),(D),(D),(D),(D),,,,,
Vanuatu,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),5,(D),,,,,
Vietnam,14,19,59,17,39,-30,"1,043","1,515",391,94,59,57,,,,,
,,,,,,,,,,,,,,,,,
